order_id,order_date,sku_id,customer_id,ship_to_location,customer_segment,qty_ordered,price_per_unit,channel,priority_flag
SO-1001,2026-04-01,SKU-001,CUST-001,LOC-CHI-STORE,STANDARD,118,58.90,ECOM,N
SO-1002,2026-04-02,SKU-001,CUST-002,LOC-CHI-STORE,STANDARD,126,58.90,ECOM,N
SO-1003,2026-04-03,SKU-001,CUST-003,LOC-CHI-STORE,STANDARD,132,58.90,WHOLESALE,Y
SO-1004,2026-04-04,SKU-001,CUST-004,LOC-CHI-STORE,STANDARD,109,58.90,STORE,N
SO-1005,2026-04-05,SKU-001,CUST-005,LOC-CHI-STORE,STANDARD,141,58.90,STORE,N
SO-1006,2026-04-06,SKU-001,CUST-006,LOC-CHI-STORE,STANDARD,121,58.90,ECOM,N
SO-2001,2026-04-01,SKU002,CUST-101,LOC-ATL-STORE,PREMIUM,210,13.25,ECOM,Y
SO-2002,2026-04-02,SKU002,CUST-102,LOC-ATL-STORE,PREMIUM,188,13.25,ECOM,Y
SO-2003,2026-04-03,SKU002,CUST-103,LOC-ATL-STORE,PREMIUM,224,13.25,WHOLESALE,Y
SO-2004,2026-04-04,SKU002,CUST-104,LOC-ATL-STORE,PREMIUM,199,13.25,STORE,N
SO-2005,2026-04-05,SKU002,CUST-105,LOC-ATL-STORE,PREMIUM,237,13.25,ECOM,Y
SO-2006,2026-04-06,SKU002,CUST-106,LOC-ATL-STORE,PREMIUM,216,13.25,ECOM,Y
SO-3001,2026-04-01,sku_003,CUST-201,LOC-DAL-STORE,BUDGET,74,28.60,WHOLESALE,N
SO-3002,2026-04-02,sku_003,CUST-202,LOC-DAL-STORE,BUDGET,81,28.60,STORE,N
SO-3003,2026-04-03,sku_003,CUST-203,LOC-DAL-STORE,BUDGET,69,28.60,STORE,N
SO-3004,2026-04-04,sku_003,CUST-204,LOC-DAL-STORE,BUDGET,88,28.60,ECOM,N
SO-3005,2026-04-05,sku_003,CUST-205,LOC-DAL-STORE,BUDGET,77,28.60,ECOM,N
SO-4001,2026-04-01,SKU 004,CUST-301,LOC-DEN-RDC,STANDARD,52,46.80,WHOLESALE,N
SO-4002,2026-04-02,SKU 004,CUST-302,LOC-DEN-RDC,STANDARD,58,46.80,WHOLESALE,N
SO-4003,2026-04-03,SKU 004,CUST-303,LOC-DEN-RDC,STANDARD,49,46.80,WHOLESALE,N
SO-4004,2026-04-04,SKU 004,CUST-304,LOC-DEN-RDC,STANDARD,61,46.80,WHOLESALE,N
SO-4005,2026-04-05,SKU 004,CUST-305,LOC-DEN-RDC,STANDARD,55,46.80,WHOLESALE,N
SO-4005,2026-04-05,SKU 004,CUST-305,LOC-DEN-RDC,STANDARD,56,46.80,WHOLESALE,N
