shipment_id,order_id,ship_date,delivery_date,from_location,to_location,sku_id,qty_shipped,transport_mode,freight_cost_usd,carrier,on_time_flag,damage_flag
SH-1001,SO-1001,2026-04-01,2026-04-02,LOC-CHI-RDC,LOC-CHI-STORE,SKU-001,118,TRUCK,52.40,Midwest Freight,Y,N
SH-1002,SO-1002,2026-04-02,2026-04-03,LOC-CHI-RDC,LOC-CHI-STORE,SKU-001,126,TRUCK,55.80,Midwest Freight,Y,N
SH-1003,SO-1003,2026-04-03,2026-04-04,LOC-CHI-RDC,LOC-CHI-STORE,SKU-001,130,TRUCK,56.90,Midwest Freight,Y,N
SH-1004,SO-1004,2026-04-04,2026-04-05,LOC-CHI-RDC,LOC-CHI-STORE,SKU-001,109,TRUCK,49.70,Midwest Freight,Y,N
SH-1005,SO-1005,2026-04-05,2026-04-06,LOC-CHI-RDC,LOC-CHI-STORE,SKU-001,141,TRUCK,62.10,Midwest Freight,Y,N
SH-2001,SO-2001,2026-04-01,2026-04-02,LOC-ATL-DC,LOC-ATL-STORE,SKU002,210,TRUCK,83.90,Southline Logistics,Y,N
SH-2002,SO-2002,2026-04-02,2026-04-03,LOC-ATL-DC,LOC-ATL-STORE,SKU002,188,TRUCK,75.20,Southline Logistics,Y,N
SH-2003,SO-2003,2026-04-03,2026-04-04,LOC-ATL-DC,LOC-ATL-STORE,SKU002,224,TRUCK,90.40,Southline Logistics,Y,N
SH-2004,SO-2004,2026-04-04,2026-04-05,LOC-ATL-DC,LOC-ATL-STORE,SKU002,199,TRUCK,79.80,Southline Logistics,Y,N
SH-3001,SO-3001,2026-04-01,2026-04-04,LOC-DEN-RDC,LOC-DAL-STORE,sku_003,74,TRUCK,127.60,Front Range Carrier,N,N
SH-3002,SO-3002,2026-04-02,2026-04-05,LOC-DEN-RDC,LOC-DAL-STORE,sku_003,81,TRUCK,136.20,Front Range Carrier,Y,N
SH-3003,SO-3003,2026-04-03,2026-04-06,LOC-DEN-RDC,LOC-DAL-STORE,sku_003,69,TRUCK,118.50,Front Range Carrier,Y,N
SH-4001,SO-4001,2026-04-01,2026-04-05,LOC-CHI-DC,LOC-DEN-RDC,SKU 004,52,RAIL,61.30,Continental Rail,Y,N
SH-4002,SO-4002,2026-04-02,2026-04-06,LOC-CHI-DC,LOC-DEN-RDC,SKU 004,58,RAIL,66.70,Continental Rail,Y,N
